RadiusFromCore,Density,Pressure,VelocityMagnitude
1.09084,340465,33846.5,0.0316386
1.14656,55728.8,5372.88,0.0319593
1.07979,397359,39535.9,0.030284
1.08575,259964,25796.4,0.0285603
1.09073,70518.7,6851.87,0.0262446
1.08615,689150,68715,0.0292705
1.09301,697319,69531.9,0.0297653
1.12424,41291.4,3929.14,0.0272263
1.08668,167189,16518.9,0.0307481
1.08413,343922,34192.2,0.0279992
1.13263,285650,28365,0.0300587
1.08436,973312,97131.2,0.034685
1.10199,63216.8,6121.68,0.0303385
1.05698,407295,40529.5,0.0300994
1.13865,86077.1,8407.71,0.0304421
1.10841,832541,83054.1,0.0395207
1.12907,675290,67329,0.0326713
1.08016,796077,79407.7,0.0278417
1.07874,745554,74355.4,0.0295566
1.12171,140854,13885.4,0.0295344
1.0968,45265.1,4326.51,0.0318925
1.07509,510836,50883.6,0.0330289
1.08179,178845,17684.5,0.0272624
1.07173,596299,59429.9,0.0285844
1.11464,133109,13110.9,0.0290176
1.08844,51915.3,4991.53,0.0272609
1.07236,588245,58624.5,0.0306106
1.09632,453218,45121.8,0.0281219
1.07079,601647,59964.7,0.0289936
1.08383,888894,88689.4,0.0294959
1.08706,314713,31271.3,0.0255826
1.0902,409258,40725.8,0.0313145
1.09534,918562,91656.2,0.0308546
1.08396,443588,44158.8,0.0329509
1.07166,2.42112e+06,241912,0.0382404
1.08296,403450,40144.9,0.0302356
1.08065,696610,69461,0.0292299
1.10508,457680,45568.1,0.0308489
1.13227,48417,4641.7,0.033327
1.11068,38596.8,3659.68,0.0290407
1.06993,1.43985e+06,143785,0.0290789
1.09721,211366,20936.6,0.0343957
1.14353,29674.9,2767.49,0.027953
1.08143,491942,48994.2,0.0301764
1.11867,30042.8,2804.28,0.0274391
1.13584,186521,18452.1,0.0321951
1.14384,98910.4,9691.04,0.0275974
1.08339,504732,50273.2,0.0297851
1.11043,638070,63607,0.0317884
1.09212,1.43564e+06,143364,0.0318172
1.09178,779555,77755.5,0.0315645
1.07644,321069,31906.9,0.0295418
1.09195,226222,22422.2,0.0281416
1.08007,682770,68077,0.0362815
1.09976,248030,24603,0.0311483
1.07773,1.05037e+06,104837,0.0280638
1.15449,46714.4,4471.44,0.0327395
1.07719,1.0831e+06,108110,0.0296
1.11545,61538.7,5953.87,0.0319459
1.09341,1.19819e+06,119619,0.0294661
1.07315,966697,96469.7,0.0296585
1.07461,131501,12950.1,0.0310342
1.08014,781192,77919.2,0.0360418
1.07757,1.09675e+06,109475,0.0314374
1.11534,346341,34434.1,0.0299388
1.10463,696172,69417.2,0.0329223
1.12047,164185,16218.5,0.0283796
1.1037,628310,62631,0.0348852
1.08899,56411.9,5441.19,0.0310902
1.08098,518975,51697.5,0.0282522
1.07055,684030,68203,0.0276831
1.07735,2.4635e+06,246150,0.0289999
1.10142,188885,18688.5,0.0283549
1.07969,712068,71006.8,0.0279537
1.12986,49186.7,4718.67,0.0310231
1.14208,103426,10142.6,0.028816
1.07499,1.60356e+06,160156,0.0318259
1.07253,2.0105e+06,200850,0.0316772
1.12714,34295.6,3229.56,0.0294085
1.09665,116844,11484.4,0.0263757
1.10313,33406.9,3140.69,0.0285554
1.14579,30503.7,2850.37,0.0280982
1.12443,582016,58001.6,0.031018
1.14548,25618.7,2361.87,0.0273583
1.11095,1.05755e+06,105555,0.0495006
1.08452,824066,82206.6,0.0290114
1.0603,3.54811e+06,354611,0.0293538
1.0798,860906,85890.6,0.0456399
1.08125,1.6261e+06,162410,0.0278406
1.08191,1.36922e+06,136722,0.0316698
1.07166,946754,94475.4,0.0239721
1.07365,1.81061e+06,180861,0.0283869
1.15404,47270.1,4527.01,0.0362525
1.10491,756016,75401.6,0.0300997
1.09844,132383,13038.3,0.0286971
1.11013,402256,40025.6,0.0314388
1.08265,44016.4,4201.64,0.0300771
1.10406,620899,61889.9,0.028418
1.07326,1.6963e+06,169430,0.0294977
1.07061,1.34342e+06,134142,0.0295442
1.083,1.21726e+06,121526,0.0315535
1.09237,49381.2,4738.12,0.0271101
1.09307,95179.2,9317.92,0.0291576
1.07,1.43974e+06,143774,0.0300424
1.12982,34883.2,3288.32,0.02685
1.08213,1.41933e+06,141733,0.0289556
1.08224,1.49539e+06,149339,0.0296734
1.14528,64118.8,6211.88,0.027594
1.0934,181825,17982.5,0.0250264
1.11971,483095,48109.5,0.031392
1.07749,2.38275e+06,238075,0.0296586
1.12812,294469,29246.9,0.0296289
1.09358,95712.2,9371.22,0.0279075
1.09065,154407,15240.7,0.0299112
1.06967,1.01793e+06,101593,0.032893
1.10675,91298.8,8929.88,0.0293327
1.0862,2.81028e+06,280828,0.0288955
1.10049,301320,29932,0.0260223
1.07036,745472,74347.2,0.0285395
1.09866,56883.9,5488.39,0.0283058
1.09471,58077,5607.7,0.0277421
1.0837,102141,10014.1,0.0278364
1.11452,33330.4,3133.04,0.0296114
1.07591,390115,38811.5,0.0292741
1.11864,220544,21854.4,0.0313956
1.08435,95546.9,9354.69,0.0272031
1.08345,482144,48014.4,0.0327377
1.09431,617781,61578.1,0.0283124
1.12585,385766,38376.6,0.0292122
1.11127,34111.3,3211.13,0.0284667
1.13946,98764.4,9676.44,0.0308493
1.11464,46164,4416.4,0.0290139
1.07784,2.22584e+06,222384,0.0306844
1.07076,2.23803e+06,223603,0.030172
1.08344,216128,21412.8,0.0305138
1.11039,767105,76510.5,0.0289441
1.1303,406366,40436.6,0.030689
1.09184,47284.5,4528.45,0.0300541
1.15686,26971.5,2497.15,0.0282861
1.1028,54350.7,5235.07,0.0268314
1.1374,213271,21127.1,0.0292931
